SBA Physical Declaration Number,SBA EIDL Declaration Number,SBA Disaster Number,Damaged Property Zip Code,County Name,Verified Loss Real Estate,Verified Loss Content,Approved Amount Real Estate,Approved Amount Content,Approved Amount EIDL,Year,State Name
11430,11431.0,TX-00308,75933.0,NEWTON,1307.0,1910.0,0.0,0.0,0.0,2008,TEXAS
11430,11431.0,TX-00308,77530.0,HARRIS,1450704.0,22306.0,143100.0,13900.0,68200.0,2008,TEXAS
11430,11431.0,TX-00308,77650.0,GALVESTON,78107.0,5240.0,0.0,0.0,0.0,2008,TEXAS
11430,11431.0,TX-00308,77565.0,GALVESTON,1011063.0,414265.0,5900.0,14000.0,5000.0,2008,TEXAS
11430,11431.0,TX-00308,77327.0,LIBERTY,1321556.0,300313.0,953200.0,162700.0,67800.0,2008,TEXAS
11430,11431.0,TX-00308,77328.0,LIBERTY,0.0,10850.0,0.0,0.0,0.0,2008,TEXAS
11430,11431.0,TX-00308,77531.0,BRAZORIA,134403.0,14534.0,0.0,0.0,17800.0,2008,TEXAS
11430,11431.0,TX-00308,77531.0,BRAZORIA,0.0,0.0,0.0,0.0,27600.0,2008,TEXAS
11430,11431.0,TX-00308,77331.0,SAN JACINTO,85917.0,3761.0,23900.0,3600.0,700.0,2008,TEXAS
11430,11431.0,TX-00308,77331.0,SAN JACINTO,0.0,0.0,0.0,0.0,33600.0,2008,TEXAS
11430,11431.0,TX-00308,77301.0,GALVESTON,3169.0,2852.0,0.0,0.0,0.0,2008,TEXAS
11430,11431.0,TX-00308,77304.0,GALVESTON,32850.0,500.0,16400.0,0.0,37500.0,2008,TEXAS
11430,11431.0,TX-00308,77301.0,HARRIS,529.0,0.0,0.0,0.0,0.0,2008,TEXAS
11430,11431.0,TX-00308,77301.0,MONTGOMERY,470723.0,110083.0,291600.0,99400.0,41900.0,2008,TEXAS
11430,11431.0,TX-00308,77302.0,MONTGOMERY,9891.0,2050.0,0.0,0.0,0.0,2008,TEXAS
11430,11431.0,TX-00308,77303.0,MONTGOMERY,68198.0,17225.0,49800.0,16400.0,4000.0,2008,TEXAS
11430,11431.0,TX-00308,77304.0,MONTGOMERY,329366.0,49610.0,41700.0,4400.0,69800.0,2008,TEXAS
11430,11431.0,TX-00308,77306.0,MONTGOMERY,36332.0,2000.0,0.0,0.0,0.0,2008,TEXAS
11430,11431.0,TX-00308,77384.0,MONTGOMERY,150889.0,8420.0,5400.0,0.0,0.0,2008,TEXAS
11430,11431.0,TX-00308,77385.0,MONTGOMERY,3166.0,1775.0,3200.0,0.0,14200.0,2008,TEXAS
11430,11431.0,TX-00308,77301.0,MONTGOMERY,0.0,0.0,0.0,0.0,23200.0,2008,TEXAS
11430,11431.0,TX-00308,77304.0,MONTGOMERY,2714.0,2150.0,0.0,0.0,21300.0,2008,TEXAS
11430,11431.0,TX-00308,77381.0,MONTGOMERY,0.0,0.0,0.0,0.0,5000.0,2008,TEXAS
11430,11431.0,TX-00308,75835.0,HOUSTON,34027.0,0.0,0.0,0.0,0.0,2008,TEXAS
11430,11431.0,TX-00308,77532.0,HARRIS,653640.0,43365.0,335100.0,3000.0,137700.0,2008,TEXAS
11430,11431.0,TX-00308,77560.0,GALVESTON,204274.0,33050.0,0.0,0.0,0.0,2008,TEXAS
11430,11431.0,TX-00308,77650.0,GALVESTON,36575298.0,7312998.0,7951600.0,1666100.0,347600.0,2008,TEXAS
11430,11431.0,TX-00308,77650.0,GALVESTON,340119.0,46961.0,0.0,0.0,0.0,2008,TEXAS
11430,11431.0,TX-00308,77410.0,HARRIS,18463.0,0.0,0.0,0.0,0.0,2008,TEXAS
11430,11431.0,TX-00308,77429.0,HARRIS,413094.0,109296.0,88200.0,500.0,0.0,2008,TEXAS
11430,11431.0,TX-00308,77433.0,HARRIS,109253.0,3050.0,0.0,0.0,0.0,2008,TEXAS
11430,11431.0,TX-00308,77429.0,HARRIS,0.0,2200.0,0.0,0.0,27100.0,2008,TEXAS
11430,11431.0,TX-00308,77534.0,BRAZORIA,5393.0,0.0,0.0,0.0,0.0,2008,TEXAS
11430,11431.0,TX-00308,77535.0,CHAMBERS,100389.0,9500.0,100400.0,9500.0,43300.0,2008,TEXAS
11430,11431.0,TX-00308,77000.0,LIBERTY,58212.0,0.0,58300.0,0.0,0.0,2008,TEXAS
11430,11431.0,TX-00308,77535.0,LIBERTY,670892.0,71567.0,136100.0,800.0,0.0,2008,TEXAS
11430,11431.0,TX-00308,77536.0,HARRIS,257386.0,164121.0,187000.0,90200.0,95200.0,2008,TEXAS
11430,11431.0,TX-00308,77538.0,LIBERTY,7495.0,1500.0,0.0,0.0,0.0,2008,TEXAS
11430,11431.0,TX-00308,77614.0,NEWTON,9001.0,0.0,9100.0,0.0,0.0,2008,TEXAS
11430,11431.0,TX-00308,75941.0,ANGELINA,153606.0,553.0,0.0,0.0,0.0,2008,TEXAS
11430,11431.0,TX-00308,77539.0,GALVESTON,2788386.0,872700.0,552700.0,109800.0,232600.0,2008,TEXAS
11430,11431.0,TX-00308,77546.0,GALVESTON,17420.0,4800.0,17500.0,4800.0,39900.0,2008,TEXAS
11430,11431.0,TX-00308,77539.0,GALVESTON,55404.0,1475.0,0.0,0.0,0.0,2008,TEXAS
11430,11431.0,TX-00308,77586.0,GALVESTON,56994.0,195745.0,0.0,0.0,0.0,2008,TEXAS
11430,11431.0,TX-00308,77586.0,HARRIS,20636942.0,136920.0,0.0,0.0,0.0,2008,TEXAS
11430,11431.0,TX-00308,77705.0,JEFFERSON,33366.0,12100.0,33400.0,12100.0,0.0,2008,TEXAS
11430,11431.0,TX-00308,77541.0,BRAZORIA,4597914.0,1044777.0,2520300.0,625700.0,115000.0,2008,TEXAS
11430,11431.0,TX-00308,77542.0,BRAZORIA,1094511.0,141403.0,0.0,0.0,0.0,2008,TEXAS
11430,11431.0,TX-00308,77578.0,BRAZORIA,73120.0,6780.0,0.0,0.0,0.0,2008,TEXAS
11430,11431.0,TX-00308,77545.0,FORT BEND,90341.0,15736.0,21900.0,0.0,200.0,2008,TEXAS
11430,11431.0,TX-00308,77546.0,BRAZORIA,55749.0,64200.0,0.0,0.0,0.0,2008,TEXAS
11430,11431.0,TX-00308,77546.0,GALVESTON,564755.0,165069.0,34000.0,41700.0,31200.0,2008,TEXAS
11430,11431.0,TX-00308,77546.0,GALVESTON,35636.0,20916.0,35700.0,20900.0,9200.0,2008,TEXAS
11430,11431.0,TX-00308,77546.0,HARRIS,134395.0,26645.0,14700.0,15900.0,0.0,2008,TEXAS
11430,11431.0,TX-00308,77546.0,HARRIS,0.0,14650.0,0.0,0.0,0.0,2008,TEXAS
11430,11431.0,TX-00308,77441.0,FORT BEND,0.0,1000.0,0.0,0.0,0.0,2008,TEXAS
11430,11431.0,TX-00308,77441.0,FORT BEND,826.0,140000.0,0.0,0.0,0.0,2008,TEXAS
11430,11431.0,TX-00308,77547.0,HARRIS,320090.0,9382.0,64700.0,0.0,2400.0,2008,TEXAS
11430,11431.0,TX-00308,77521.0,GALVESTON,679.0,18078.0,0.0,0.0,0.0,2008,TEXAS
11430,11431.0,TX-00308,77539.0,GALVESTON,565161.0,80460.0,17000.0,46000.0,0.0,2008,TEXAS
11430,11431.0,TX-00308,77550.0,GALVESTON,83540401.0,27801636.0,19718400.0,9543100.0,4090300.0,2008,TEXAS
11430,11431.0,TX-00308,77551.0,GALVESTON,31678584.0,6975454.0,9805200.0,1769100.0,988200.0,2008,TEXAS
11430,11431.0,TX-00308,77552.0,GALVESTON,0.0,77455.0,0.0,69800.0,0.0,2008,TEXAS
11430,11431.0,TX-00308,77553.0,GALVESTON,396854.0,348885.0,113600.0,2400.0,8000.0,2008,TEXAS
11430,11431.0,TX-00308,77554.0,GALVESTON,30606069.0,6404623.0,7533800.0,2444100.0,2200800.0,2008,TEXAS
11430,11431.0,TX-00308,77555.0,GALVESTON,97747.0,311500.0,0.0,0.0,0.0,2008,TEXAS
11430,11431.0,TX-00308,77568.0,GALVESTON,0.0,16520.0,0.0,16600.0,2100.0,2008,TEXAS
11430,11431.0,TX-00308,77573.0,GALVESTON,125313.0,0.0,0.0,0.0,0.0,2008,TEXAS
11430,11431.0,TX-00308,77586.0,GALVESTON,55837.0,1650.0,0.0,0.0,0.0,2008,TEXAS
11430,11431.0,TX-00308,77550.0,GALVESTON,59071.0,7700.0,21100.0,3700.0,0.0,2008,TEXAS
11430,11431.0,TX-00308,77551.0,GALVESTON,0.0,37420.0,0.0,17000.0,26500.0,2008,TEXAS
11430,11431.0,TX-00308,77554.0,GALVESTON,174481.0,1000.0,100600.0,1000.0,22700.0,2008,TEXAS
11430,11431.0,TX-00308,77554.0,GALVESTON,325080.0,4130.0,307800.0,0.0,10600.0,2008,TEXAS
11430,11431.0,TX-00308,77550.0,HARRIS,394420.0,101164.0,0.0,0.0,0.0,2008,TEXAS
11430,11431.0,TX-00308,77544.0,HARRIS,1099684.0,585797.0,0.0,0.0,0.0,2008,TEXAS
11430,11431.0,TX-00308,77617.0,GALVESTON,8398917.0,1405959.0,1260300.0,470300.0,67700.0,2008,TEXAS
11430,11431.0,TX-00308,77617.0,GALVESTON,0.0,3150.0,0.0,0.0,0.0,2008,TEXAS
11430,11431.0,TX-00308,77554.0,GALVESTON,91752.0,2228.0,91800.0,2200.0,7300.0,2008,TEXAS
11430,11431.0,TX-00308,77335.0,POLK,72368.0,10525.0,0.0,0.0,0.0,2008,TEXAS
11430,11431.0,TX-00308,77619.0,JEFFERSON,157703.0,76766.0,133700.0,35900.0,95200.0,2008,TEXAS
11430,11431.0,TX-00308,77622.0,JEFFERSON,21251.0,0.0,18400.0,0.0,46900.0,2008,TEXAS
11430,11431.0,TX-00308,77560.0,CHAMBERS,451612.0,56219.0,54800.0,14400.0,0.0,2008,TEXAS
11430,11431.0,TX-00308,77561.0,LIBERTY,135596.0,47040.0,135600.0,47100.0,96600.0,2008,TEXAS
11430,11431.0,TX-00308,77561.0,LIBERTY,0.0,0.0,0.0,0.0,14800.0,2008,TEXAS
11430,11431.0,TX-00308,77445.0,WALLER,11215.0,0.0,0.0,0.0,0.0,2008,TEXAS
11430,11431.0,TX-00308,77623.0,GALVESTON,135708.0,500.0,135800.0,500.0,9100.0,2008,TEXAS
11430,11431.0,TX-00308,77562.0,HARRIS,467892.0,64463.0,31800.0,0.0,2500.0,2008,TEXAS
11430,11431.0,TX-00308,77563.0,GALVESTON,3253924.0,850504.0,1287100.0,629700.0,383000.0,2008,TEXAS
11430,11431.0,TX-00308,77590.0,GALVESTON,69950.0,20975.0,14000.0,0.0,0.0,2008,TEXAS
11430,11431.0,TX-00308,77447.0,HARRIS,1416.0,36625.0,1500.0,36600.0,0.0,2008,TEXAS
11430,11431.0,TX-00308,77026.0,HARRIS,43802.0,0.0,0.0,0.0,0.0,2008,TEXAS
11430,11431.0,TX-00308,77035.0,HARRIS,1751.0,0.0,0.0,0.0,0.0,2008,TEXAS
11430,11431.0,TX-00308,77053.0,FORT BEND,260063.0,22475.0,4200.0,0.0,0.0,2008,TEXAS
11430,11431.0,TX-00308,77083.0,FORT BEND,22084.0,4898.0,3000.0,4900.0,0.0,2008,TEXAS
11430,11431.0,TX-00308,77033.0,FORT BEND,0.0,0.0,0.0,0.0,16200.0,2008,TEXAS
11430,11431.0,TX-00308,77074.0,FORT BEND,0.0,2798.0,0.0,0.0,0.0,2008,TEXAS
11430,11431.0,TX-00308,77008.0,GALVESTON,0.0,19090.0,0.0,0.0,0.0,2008,TEXAS
11430,11431.0,TX-00308,77022.0,GALVESTON,372144.0,1400.0,372200.0,1400.0,0.0,2008,TEXAS
11430,11431.0,TX-00308,77059.0,GALVESTON,42143.0,48989.0,0.0,0.0,0.0,2008,TEXAS
11430,11431.0,TX-00308,77082.0,GALVESTON,0.0,16453.0,0.0,0.0,0.0,2008,TEXAS
11430,11431.0,TX-00308,77008.0,GALVESTON,0.0,0.0,0.0,0.0,25000.0,2008,TEXAS
11430,11431.0,TX-00308,77058.0,GALVESTON,0.0,0.0,0.0,0.0,49100.0,2008,TEXAS
11430,11431.0,TX-00308,70053.0,HARRIS,2074029.0,0.0,0.0,0.0,0.0,2008,TEXAS
11430,11431.0,TX-00308,77002.0,HARRIS,847701.0,123578.0,711900.0,58000.0,225800.0,2008,TEXAS
11430,11431.0,TX-00308,77003.0,HARRIS,1030597.0,402921.0,350200.0,54000.0,69600.0,2008,TEXAS
11430,11431.0,TX-00308,77004.0,HARRIS,5511791.0,181136.0,1734400.0,39600.0,37600.0,2008,TEXAS
11430,11431.0,TX-00308,77005.0,HARRIS,661216.0,122489.0,0.0,0.0,0.0,2008,TEXAS
11430,11431.0,TX-00308,77006.0,HARRIS,2427677.0,138396.0,955700.0,28400.0,61000.0,2008,TEXAS
11430,11431.0,TX-00308,77007.0,HARRIS,273767.0,276292.0,48400.0,21400.0,300000.0,2008,TEXAS
